text,label
Best Buy,STORE
Date: 2025-04-02,DATE
Total: $216.88,TOTAL
purchase electronics shoes $216.88,ITEM
Thank you for your purchase!,O
Receipt #: 88191,O
Electric Company,STORE
Date: 2025-04-11,DATE
Total: $808.51,TOTAL
monthly service $808.51,ITEM
Thank you for your purchase!,O
Receipt #: 64615,O
Unknown Vendor,STORE
Date: 2025-04-03,DATE
Total: $140.48,TOTAL
service misc general $140.48,ITEM
Thank you for your purchase!,O
Receipt #: 13094,O
Best Buy,STORE
Date: 2025-03-29,DATE
Total: $132.03,TOTAL
accessories shoes #5069 $132.03,ITEM
Thank you for your purchase!,O
Receipt #: 72034,O
AT&T,STORE
Date: 2025-03-24,DATE
Total: $400.01,TOTAL
service payment $400.01,ITEM
Thank you for your purchase!,O
Receipt #: 60924,O
Local Clinic,STORE
Date: 2025-04-01,DATE
Total: $136.03,TOTAL
medical doctor medicine $136.03,ITEM
Thank you for your purchase!,O
Receipt #: 83637,O
Walmart,STORE
Date: 2025-04-18,DATE
Total: $54.14,TOTAL
produce $54.14,ITEM
Thank you for your purchase!,O
Receipt #: 87512,O
Local Clinic,STORE
Date: 2025-04-12,DATE
Total: $104.07,TOTAL
medical medicine #1946 $104.07,ITEM
Thank you for your purchase!,O
Receipt #: 11212,O
Safeway,STORE
Date: 2025-04-04,DATE
Total: $96.32,TOTAL
produce dairy $96.32,ITEM
Thank you for your purchase!,O
Receipt #: 20524,O
Local Clinic,STORE
Date: 2025-04-12,DATE
Total: $206.70,TOTAL
health #8360 $206.70,ITEM
Thank you for your purchase!,O
Receipt #: 90683,O
AMC Theaters,STORE
Date: 2025-04-09,DATE
Total: $30.07,TOTAL
game streaming $30.07,ITEM
Thank you for your purchase!,O
Receipt #: 25439,O
Best Buy,STORE
Date: 2025-03-26,DATE
Total: $223.43,TOTAL
clothes accessories $223.43,ITEM
Thank you for your purchase!,O
Receipt #: 46121,O
Trader Joes,STORE
Date: 2025-04-14,DATE
Total: $128.88,TOTAL
dairy $128.88,ITEM
Thank you for your purchase!,O
Receipt #: 71185,O
Metro,STORE
Date: 2025-03-23,DATE
Total: $41.28,TOTAL
gas $41.28,ITEM
Thank you for your purchase!,O
Receipt #: 85026,O
Trader Joes,STORE
Date: 2025-04-09,DATE
Total: $58.90,TOTAL
bread meat $58.90,ITEM
Thank you for your purchase!,O
Receipt #: 66069,O
Shell,STORE
Date: 2025-04-10,DATE
Total: $66.17,TOTAL
gas $66.17,ITEM
Thank you for your purchase!,O
Receipt #: 95887,O
Safeway,STORE
Date: 2025-04-19,DATE
Total: $96.38,TOTAL
produce dairy bread $96.38,ITEM
Thank you for your purchase!,O
Receipt #: 39843,O
Shell,STORE
Date: 2025-04-03,DATE
Total: $77.81,TOTAL
transportation $77.81,ITEM
Thank you for your purchase!,O
Receipt #: 60708,O
Netflix,STORE
Date: 2025-04-21,DATE
Total: $22.72,TOTAL
entertainment game streaming $22.72,ITEM
Thank you for your purchase!,O
Receipt #: 64123,O
Lyft,STORE
Date: 2025-04-16,DATE
Total: $63.83,TOTAL
transportation gas #6119 $63.83,ITEM
Thank you for your purchase!,O
Receipt #: 30538,O
Various Services,STORE
Date: 2025-04-11,DATE
Total: $491.41,TOTAL
payment service misc $491.41,ITEM
Thank you for your purchase!,O
Receipt #: 29033,O
Netflix,STORE
Date: 2025-04-08,DATE
Total: $38.36,TOTAL
movie $38.36,ITEM
Thank you for your purchase!,O
Receipt #: 39319,O
Quest Diagnostics,STORE
Date: 2025-04-06,DATE
Total: $496.75,TOTAL
prescription $496.75,ITEM
Thank you for your purchase!,O
Receipt #: 88252,O
Subway,STORE
Date: 2025-04-07,DATE
Total: $523.24,TOTAL
takeout dinner delivery #4455 $523.24,ITEM
Thank you for your purchase!,O
Receipt #: 80465,O
Electric Company,STORE
Date: 2025-04-06,DATE
Total: $163.48,TOTAL
monthly payment $163.48,ITEM
Thank you for your purchase!,O
Receipt #: 99429,O
Miscellaneous,STORE
Date: 2025-04-05,DATE
Total: $779.36,TOTAL
payment $779.36,ITEM
Thank you for your purchase!,O
Receipt #: 22916,O
Steam,STORE
Date: 2025-03-27,DATE
Total: $14.12,TOTAL
music entertainment $14.12,ITEM
Thank you for your purchase!,O
Receipt #: 30733,O
Verizon,STORE
Date: 2025-04-17,DATE
Total: $223.43,TOTAL
service payment $223.43,ITEM
Thank you for your purchase!,O
Receipt #: 67939,O
Amazon,STORE
Date: 2025-03-30,DATE
Total: $213.27,TOTAL
accessories shoes electronics $213.27,ITEM
Thank you for your purchase!,O
Receipt #: 41652,O
Unknown Vendor,STORE
Date: 2025-04-05,DATE
Total: $721.43,TOTAL
other #8472 $721.43,ITEM
Thank you for your purchase!,O
Receipt #: 76760,O
Verizon,STORE
Date: 2025-04-04,DATE
Total: $433.26,TOTAL
payment bill service $433.26,ITEM
Thank you for your purchase!,O
Receipt #: 41519,O
Target,STORE
Date: 2025-03-23,DATE
Total: $213.68,TOTAL
clothes purchase shoes #1731 $213.68,ITEM
Thank you for your purchase!,O
Receipt #: 14256,O
Miscellaneous,STORE
Date: 2025-04-09,DATE
Total: $408.32,TOTAL
other general $408.32,ITEM
Thank you for your purchase!,O
Receipt #: 86912,O
Verizon,STORE
Date: 2025-04-15,DATE
Total: $175.72,TOTAL
service #2616 $175.72,ITEM
Thank you for your purchase!,O
Receipt #: 42901,O
Miscellaneous,STORE
Date: 2025-04-16,DATE
Total: $831.70,TOTAL
other service misc $831.70,ITEM
Thank you for your purchase!,O
Receipt #: 25232,O
Walgreens,STORE
Date: 2025-03-28,DATE
Total: $292.24,TOTAL
health doctor $292.24,ITEM
Thank you for your purchase!,O
Receipt #: 86058,O
Target,STORE
Date: 2025-03-27,DATE
Total: $60.50,TOTAL
electronics clothes $60.50,ITEM
Thank you for your purchase!,O
Receipt #: 88260,O
Netflix,STORE
Date: 2025-03-25,DATE
Total: $19.01,TOTAL
