Store,Items,Amount,Category
Best Buy,purchase electronics shoes,216.88,Shopping
Electric Company,monthly service,808.51,Bills & Utilities
Unknown Vendor,service misc general,140.48,Others
Best Buy,accessories shoes #5069,132.03,Shopping
AT&T,service payment,400.01,Bills & Utilities
Local Clinic,medical doctor medicine,136.03,Healthcare
Walmart,produce,54.14,Groceries
Local Clinic,medical medicine #1946,104.07,Healthcare
Safeway,produce dairy,96.32,Groceries
Local Clinic,health #8360,206.7,Healthcare
AMC Theaters,game streaming,30.07,Entertainment
Best Buy,clothes accessories,223.43,Shopping
Trader Joes,dairy,128.88,Groceries
Metro,gas,41.28,Transportation
Trader Joes,bread meat,58.9,Groceries
Shell,gas,66.17,Transportation
Safeway,produce dairy bread,96.38,Groceries
Shell,transportation,77.81,Transportation
Netflix,entertainment game streaming,22.72,Entertainment
Lyft,transportation gas #6119,63.83,Transportation
Various Services,payment service misc,491.41,Others
Netflix,movie,38.36,Entertainment
Quest Diagnostics,prescription,496.75,Healthcare
Subway,takeout dinner delivery #4455,523.24,Food & Dining
Electric Company,monthly payment,163.48,Bills & Utilities
Miscellaneous,payment,779.36,Others
Steam,music entertainment,14.12,Entertainment
Verizon,service payment,223.43,Bills & Utilities
Amazon,accessories shoes electronics,213.27,Shopping
Unknown Vendor,other #8472,721.43,Others
Verizon,payment bill service,433.26,Bills & Utilities
Target,clothes purchase shoes #1731,213.68,Shopping
Miscellaneous,other general,408.32,Others
Verizon,service #2616,175.72,Bills & Utilities
Miscellaneous,other service misc,831.7,Others
Walgreens,health doctor,292.24,Healthcare
Target,electronics clothes,60.5,Shopping
Netflix,entertainment #2031,19.01,Entertainment
Pizza Hut,dinner meal,448.98,Food & Dining
Electric Company,service,153.63,Bills & Utilities
AT&T,monthly payment service,539.56,Bills & Utilities
McDonalds,restaurant lunch,209.76,Food & Dining
McDonalds,lunch,452.1,Food & Dining
Walgreens,health,382.83,Healthcare
Unknown Vendor,misc general service,937.42,Others
CVS,doctor medical,228.21,Healthcare
Chipotle,meal restaurant lunch #7008,306.75,Food & Dining
Subway,dinner takeout restaurant,420.53,Food & Dining
Netflix,movie #8120,29.09,Entertainment
Walgreens,medicine #1210,499.18,Healthcare
Lyft,ride fuel taxi,38.31,Transportation
Kroger,bread #1670,68.11,Groceries
Unknown Vendor,general,471.29,Others
Best Buy,purchase #9349,125.95,Shopping
Quest Diagnostics,medical #7690,139.53,Healthcare
Various Services,other general,18.68,Others
Nike,clothes,88.32,Shopping
Xbox,game,40.87,Entertainment
CVS,prescription doctor health,385.84,Healthcare
Netflix,game movie,25.16,Entertainment
Metro,taxi,8.86,Transportation
Quest Diagnostics,health medical doctor,434.78,Healthcare
Verizon,payment bill utility #2434,468.96,Bills & Utilities
Unknown Vendor,payment #7158,394.77,Others
McDonalds,dinner restaurant delivery,284.68,Food & Dining
Verizon,monthly,853.3,Bills & Utilities
Quest Diagnostics,doctor prescription medical,489.19,Healthcare
Various Services,payment other #4167,479.61,Others
Best Buy,electronics purchase,139.02,Shopping
Trader Joes,produce food meat #6882,119.19,Groceries
Local Restaurant,lunch,905.47,Food & Dining
Subway,lunch,664.75,Food & Dining
Various Services,other,920.18,Others
Safeway,dairy #7754,172.15,Groceries
Walgreens,doctor medical,469.75,Healthcare
Unknown Vendor,payment,447.27,Others
Various Services,service payment misc,540.61,Others
Local Restaurant,delivery dinner,160.11,Food & Dining
Target,electronics accessories,43.71,Shopping
Netflix,entertainment,12.17,Entertainment
McDonalds,delivery meal restaurant,71.43,Food & Dining
Shell,gas transportation #7109,68.29,Transportation
Electric Company,monthly utility service,536.76,Bills & Utilities
Subway,dinner,269.42,Food & Dining
Safeway,groceries bread food,103.47,Groceries
Nike,shoes electronics,267.79,Shopping
Kroger,food,112.17,Groceries
Kroger,groceries,152.48,Groceries
McDonalds,meal dinner restaurant #7443,102.69,Food & Dining
Trader Joes,bread #1327,25.28,Groceries
Quest Diagnostics,health medical,254.56,Healthcare
Nike,accessories clothes,149.73,Shopping
Unknown Vendor,service misc,89.26,Others
Trader Joes,groceries,61.2,Groceries
Pizza Hut,delivery lunch,296.71,Food & Dining
Uber,transportation,5.76,Transportation
Local Clinic,medicine #6569,32.08,Healthcare
Safeway,meat produce groceries,122.34,Groceries
Walgreens,medicine health medical,490.19,Healthcare
Best Buy,shoes,108.81,Shopping
Local Clinic,medical #1489,464.85,Healthcare
Whole Foods,produce dairy bread #8180,32.1,Groceries
Metro,fuel transit,10.54,Transportation
Steam,streaming game movie,22.67,Entertainment
H&M,purchase accessories electronics,72.63,Shopping
Electric Company,monthly payment utility #1183,664.06,Bills & Utilities
Electric Company,payment bill #7435,863.43,Bills & Utilities
Trader Joes,produce food groceries,92.68,Groceries
Subway,lunch restaurant takeout,100.03,Food & Dining
Verizon,utility bill #6852,962.46,Bills & Utilities
Various Services,service other,273.41,Others
Uber,taxi transportation ride #6149,52.16,Transportation
Local Restaurant,dinner #9770,756.39,Food & Dining
AMC Theaters,entertainment music,42.69,Entertainment
Lyft,gas ride,30.83,Transportation
Various Services,service other #9021,68.89,Others
Quest Diagnostics,prescription medicine #6129,306.88,Healthcare
Unknown Vendor,other payment service,680.95,Others
CVS,health,294.16,Healthcare
Walmart,bread #8740,185.53,Groceries
Safeway,bread,139.38,Groceries
Walgreens,doctor medicine,486.14,Healthcare
Miscellaneous,payment service general,986.37,Others
Water Service,bill payment monthly,598.63,Bills & Utilities
CVS,health doctor,321.84,Healthcare
Pizza Hut,restaurant #5187,424.1,Food & Dining
H&M,purchase shoes,208.86,Shopping
Xbox,movie,47.59,Entertainment
Miscellaneous,general other,940.97,Others
Local Restaurant,restaurant,389.79,Food & Dining
AT&T,monthly utility payment,112.67,Bills & Utilities
Quest Diagnostics,prescription,302.71,Healthcare
McDonalds,restaurant,16.14,Food & Dining
Pizza Hut,restaurant dinner,550.12,Food & Dining
BP,gas transit taxi,51.52,Transportation
Metro,gas transportation,56.39,Transportation
Quest Diagnostics,health doctor,430.81,Healthcare
Walmart,groceries dairy produce,37.9,Groceries
Steam,streaming movie game #8527,11.79,Entertainment
Safeway,food #9535,39.42,Groceries
Amazon,electronics,148.12,Shopping
Water Service,utility,791.09,Bills & Utilities
AT&T,utility service #2059,282.35,Bills & Utilities
Walgreens,health doctor prescription #8053,48.09,Healthcare
Lyft,fuel,74.01,Transportation
Verizon,utility,719.42,Bills & Utilities
Xbox,entertainment game,30.16,Entertainment
Unknown Vendor,general other,221.8,Others
Xbox,game,45.25,Entertainment
CVS,medical,20.45,Healthcare
Steam,movie entertainment music,27.67,Entertainment
CVS,medical,288.03,Healthcare
McDonalds,dinner meal #7236,191.11,Food & Dining
Walgreens,health doctor medicine,152.99,Healthcare
Local Restaurant,delivery,116.71,Food & Dining
H&M,purchase #1890,258.14,Shopping
Shell,transportation taxi transit,16.96,Transportation
Local Restaurant,takeout,180.87,Food & Dining
